num_heads,num_layers,hidden_dim,learning_rate,loss
2,1,128,0.001,1.102749980175903
2,1,128,0.0005,1.102865784340485
2,1,256,0.001,1.104497465343983
2,1,256,0.0005,1.1044332312993677
2,2,128,0.001,1.1024691707281105
2,2,128,0.0005,1.1031024054882643
2,2,256,0.001,1.1034587871439103
2,2,256,0.0005,1.1040363259188577
4,1,128,0.001,1.10292886595309
4,1,128,0.0005,1.1031299195362134
4,1,256,0.001,1.104587538976633
4,1,256,0.0005,1.1040547625646846
4,2,128,0.001,1.1022962214375631
4,2,128,0.0005,1.1023685918561406
4,2,256,0.001,1.1045107084535375
4,2,256,0.0005,1.1041678610863341
